iter	Passed	Remaining
401	15280	22730
402	15315	22687
403	15349	22644
404	15385	22603
405	15419	22559
406	15453	22515
407	15488	22472
408	15524	22433
409	15562	22394
410	15597	22352
411	15647	22332
412	15687	22296
413	15723	22255
414	15754	22208
415	15787	22163
416	15819	22117
417	15852	22071
418	15885	22026
419	15933	22003
420	15970	21964
421	16008	21926
422	16055	21901
423	16116	21893
424	16174	21883
425	16213	21846
426	16250	21806
427	16283	21761
428	16318	21719
429	16359	21685
430	16401	21652
431	16434	21608
432	16492	21596
433	16547	21580
434	16581	21536
435	16615	21493
436	16647	21447
437	16680	21403
438	16713	21358
439	16745	21312
440	16777	21267
441	16812	21224
442	16846	21182
443	16880	21138
444	16915	21097
445	16953	21058
446	16987	21016
447	17031	20985
448	17068	20946
449	17105	20907
450	17139	20863
451	17172	20819
452	17207	20778
453	17241	20734
454	17273	20690
455	17307	20646
456	17340	20604
457	17377	20564
458	17413	20524
459	17450	20485
460	17484	20443
461	17519	20401
462	17556	20362
463	17589	20319
464	17624	20277
465	17656	20232
466	17690	20190
467	17727	20151
468	17763	20111
469	17799	20071
470	17830	20026
471	17863	19983
472	17897	19940
473	17934	19902
474	17970	19861
475	18005	19821
476	18040	19779
477	18074	19738
478	18114	19702
479	18149	19661
480	18186	19623
481	18223	19584
482	18257	19542
483	18293	19502
484	18327	19461
485	18367	19425
486	18400	19383
487	18434	19340
488	18468	19298
489	18500	19255
490	18536	19215
491	18572	19176
492	18606	19135
493	18643	19096
494	18687	19065
495	18731	19033
496	18773	19000
497	18812	18963
498	18850	18926
499	18888	18888
500	18929	18853
501	18974	18823
502	19018	18791
503	19057	18754
504	19099	18721
505	19143	18689
506	19182	18652
507	19219	18613
508	19253	18572
509	19289	18533
510	19334	18501
511	19372	18464
512	19406	18422
513	19443	18384
514	19478	18343
515	19514	18304
516	19549	18264
517	19585	18224
518	19620	18184
519	19657	18145
520	19698	18110
521	19742	18077
522	19783	18043
523	19824	18008
524	19867	17975
525	19898	17931
526	19933	17890
527	19967	17849
528	19999	17806
529	20032	17764
530	20064	17721
531	20098	17680
532	20135	17642
533	20167	17599
534	20199	17556
535	20231	17513
536	20266	17474
537	20300	17432
538	20332	17390
539	20369	17351
540	20404	17311
541	20436	17269
542	20468	17226
543	20500	17184
544	20532	17141
545	20562	17098
546	20595	17056
547	20628	17014
548	20660	16972
549	20694	16932
550	20728	16891
551	20761	16850
552	20795	16809
553	20827	16767
554	20861	16727
555	20895	16686
556	20931	16647
557	20966	16608
558	21000	16567
559	21034	16526
560	21067	16486
561	21102	16446
562	21135	16405
563	21169	16365
564	21204	16325
565	21236	16284
566	21271	16244
567	21309	16207
568	21352	16174
569	21392	16138
570	21431	16101
571	21470	16065
572	21514	16032
573	21562	16002
574	21611	15973
575	21658	15942
576	21704	15911
577	21750	15880
578	21807	15856
579	21853	15824
580	21899	15793
581	21946	15762
582	21990	15729
583	22038	15698
584	22087	15669
585	22130	15635
586	22179	15604
587	22222	15570
588	22267	15538
589	22313	15505
590	22362	15476
591	22407	15442
592	22453	15410
593	22502	15380
594	22552	15351
595	22599	15319
596	22642	15284
597	22686	15250
598	22730	15216
599	22774	15183
600	22820	15150
601	22861	15114
602	22905	15080
603	22947	15045
604	22989	15009
605	23034	14976
606	23075	14940
607	23136	14917
608	23180	14883
609	23223	14848
610	23264	14811
611	23306	14776
612	23352	14742
613	23393	14706
614	23439	14673
615	23486	14640
616	23541	14613
617	23591	14582
618	23638	14549
619	23702	14527
620	23753	14496
621	23791	14458
622	23824	14417
623	23857	14375
624	23890	14334
625	23923	14292
626	23956	14251
627	23997	14215
628	24029	14173
629	24063	14132
630	24094	14090
631	24129	14050
632	24161	14008
633	24193	13966
634	24227	13926
635	24260	13884
636	24293	13843
637	24327	13803
638	24365	13765
639	24399	13724
640	24434	13685
641	24465	13643
642	24498	13602
643	24532	13561
644	24566	13521
645	24599	13480
646	24633	13440
647	24670	13401
648	24702	13359
649	24735	13319
650	24769	13278
651	24801	13237
652	24833	13196
653	24868	13156
654	24900	13115
655	24933	13075
656	24966	13034
657	24998	12993
658	25030	12952
659	25063	12911
660	25097	12871
661	25130	12831
662	25165	12791
663	25196	12750
664	25231	12710
665	25265	12670
666	25302	12632
667	25338	12593
668	25371	12553
669	25405	12512
670	25437	12472
671	25468	12430
672	25499	12389
673	25532	12349
674	25562	12307
675	25596	12268
676	25629	12227
677	25665	12189
678	25699	12149
679	25732	12109
680	25764	12068
681	25796	12028
682	25828	11987
683	25859	11946
684	25890	11905
685	25923	11865
686	25954	11825
687	25988	11785
688	26022	11745
689	26055	11705
690	26086	11665
691	26120	11625
692	26154	11586
693	26196	11550
694	26230	11511
695	26264	11471
696	26297	11432
697	26332	11393
698	26366	11353
699	26399	11314
700	26431	11274
701	26462	11233
702	26498	11194
703	26531	11155
704	26563	11115
705	26595	11075
706	26629	11035
707	26665	10997
708	26699	10958
709	26740	10922
710	26775	10883
711	26809	10844
712	26843	10805
713	26877	10765
714	26910	10726
715	26943	10687
716	26976	10647
717	27008	10607
718	27040	10568
719	27072	10528
720	27105	10488
721	27137	10449
722	27171	10410
723	27205	10371
724	27241	10332
725	27275	10293
726	27306	10254
727	27342	10215
728	27374	10176
729	27406	10136
730	27439	10097
731	27472	10058
732	27504	10018
733	27537	9979
734	27569	9939
735	27605	9902
736	27641	9863
737	27673	9824
738	27707	9785
739	27740	9746
740	27779	9709
741	27815	9671
742	27848	9632
743	27881	9593
744	27913	9554
745	27944	9514
746	27977	9475
747	28008	9435
748	28038	9396
749	28072	9357
750	28108	9319
751	28141	9280
752	28173	9241
753	28207	9203
754	28238	9163
755	28268	9123
756	28300	9084
757	28335	9046
758	28368	9007
759	28398	8967
760	28427	8927
761	28457	8888
762	28486	8848
763	28518	8809
764	28548	8769
765	28578	8730
766	28608	8690
767	28638	8651
768	28669	8612
769	28699	8572
770	28731	8533
771	28763	8494
772	28805	8458
773	28848	8423
774	28887	8386
775	28929	8350
776	28970	8314
777	29009	8277
778	29050	8241
779	29089	8204
780	29128	8167
781	29166	8130
782	29206	8094
783	29254	8059
784	29292	8022
785	29339	7988
786	29386	7953
787	29428	7917
788	29468	7880
789	29506	7843
790	29546	7806
791	29589	7770
792	29629	7734
793	29668	7697
794	29707	7660
795	29747	7623
796	29786	7586
797	29826	7549
798	29867	7513
799	29906	7476
800	29946	7439
801	29987	7403
802	30026	7366
803	30068	7330
804	30106	7292
805	30144	7255
806	30183	7218
807	30223	7181
808	30266	7145
809	30307	7109
810	30354	7073
811	30393	7037
812	30435	7000
813	30476	6963
814	30516	6927
815	30554	6889
816	30595	6853
817	30635	6816
818	30677	6779
819	30723	6744
820	30771	6709
821	30817	6673
822	30857	6636
823	30901	6600
824	30971	6569
825	31015	6533
826	31061	6497
827	31104	6461
828	31148	6425
829	31194	6389
830	31237	6352
831	31278	6315
832	31330	6281
833	31378	6245
834	31419	6208
835	31464	6172
836	31507	6135
837	31552	6099
838	31598	6063
839	31642	6027
840	31684	5990
841	31727	5953
842	31765	5916
843	31802	5878
844	31836	5839
845	31875	5802
846	31912	5764
847	31950	5726
848	31986	5689
849	32025	5651
850	32063	5613
851	32101	5576
852	32139	5538
853	32177	5501
854	32215	5463
855	32261	5427
856	32300	5389
857	32344	5353
858	32383	5315
859	32422	5278
860	32461	5240
861	32499	5202
862	32540	5165
863	32578	5128
864	32617	5090
865	32654	5052
866	32692	5015
867	32730	4977
868	32768	4939
869	32806	4902
870	32842	4864
871	32884	4827
872	32926	4789
873	32965	4752
874	33007	4715
875	33049	4678
876	33105	4643
877	33148	4605
878	33192	4569
879	33234	4531
880	33278	4495
881	33325	4458
882	33370	4421
883	33413	4384
884	33448	4346
885	33485	4308
886	33522	4270
887	33562	4233
888	33597	4195
889	33636	4157
890	33672	4119
891	33708	4081
892	33746	4043
893	33783	4005
894	33820	3967
895	33856	3929
896	33893	3891
897	33929	3853
898	33964	3815
899	33998	3777
900	34035	3739
901	34069	3701
902	34106	3663
903	34143	3625
904	34181	3588
905	34220	3550
906	34256	3512
907	34294	3474
908	34332	3437
909	34369	3399
910	34411	3361
911	34457	3324
912	34495	3287
913	34536	3249
914	34575	3211
915	34616	3174
916	34661	3137
917	34705	3100
918	34759	3063
919	34807	3026
920	34864	2990
921	34917	2953
922	34974	2917
923	35021	2880
924	35068	2843
925	35117	2806
926	35167	2769
927	35223	2732
928	35261	2694
929	35310	2657
930	35347	2619
931	35385	2581
932	35421	2543
933	35460	2505
934	35504	2468
935	35542	2430
936	35582	2392
937	35617	2354
938	35655	2316
939	35695	2278
940	35733	2240
941	35773	2202
942	35815	2164
943	35853	2126
944	35889	2088
945	35927	2050
946	35967	2012
947	36006	1975
948	36045	1937
949	36083	1899
950	36119	1861
951	36157	1823
952	36196	1785
953	36233	1747
954	36271	1709
955	36302	1670
956	36335	1632
957	36367	1594
958	36398	1556
959	36427	1517
960	36458	1479
961	36493	1441
962	36523	1403
963	36554	1365
964	36584	1326
965	36614	1288
966	36644	1250
967	36673	1212
968	36704	1174
969	36734	1136
970	36772	1098
971	36812	1060
972	36852	1022
973	36896	984
974	36937	947
975	36985	909
976	37029	871
977	37081	834
978	37132	796
979	37187	758
980	37234	721
981	37288	683
982	37349	645
983	37398	608
984	37443	570
985	37482	532
986	37524	494
987	37565	456
988	37608	418
989	37653	380
990	37699	342
991	37745	304
992	37784	266
993	37823	228
994	37877	190
995	37928	152
996	37967	114
997	38027	76
998	38094	38
999	38135	0
