iter	Logloss
0	0.5291511585
1	0.4108141699
2	0.3349486337
3	0.2689369287
4	0.2102413112
5	0.1736487536
6	0.1380009466
7	0.1106774162
8	0.08990553063
9	0.07326252048
10	0.05946764488
11	0.04861370151
12	0.04033316992
13	0.0344305684
14	0.02979869388
15	0.02562452426
16	0.02256234969
17	0.01985368638
18	0.01772977455
19	0.01598972547
20	0.01448428012
21	0.01347179876
22	0.01256279524
23	0.01179096687
24	0.01103835598
25	0.01030097956
26	0.009743139152
27	0.009253970057
28	0.008697256987
29	0.008302292277
30	0.007955744734
31	0.007559366428
32	0.007306135198
33	0.007105965264
34	0.006890611625
35	0.006648641541
36	0.006419722167
37	0.006251685455
38	0.006158774145
39	0.005968839533
40	0.005758421693
41	0.005646631134
42	0.005604189612
43	0.005455956826
44	0.005353171613
45	0.005241570762
46	0.005184169056
47	0.00512550059
48	0.005028632901
49	0.004930899318
50	0.0048191047
51	0.004697390765
52	0.004574851944
53	0.004516702689
54	0.004439525043
55	0.004372727388
56	0.004292867662
57	0.00420371395
58	0.004150342452
59	0.00407097436
60	0.00405717478
61	0.004006382747
62	0.003948819192
63	0.003889406842
64	0.003841357974
65	0.003742951443
66	0.003687564157
67	0.003644266123
68	0.003590048245
69	0.003539869888
70	0.003475695797
71	0.003462295357
72	0.003411324267
73	0.003342524278
74	0.003323107799
75	0.003251147887
76	0.003223999673
77	0.003194701328
78	0.003157949024
79	0.003140352195
80	0.003114371472
81	0.003081495664
82	0.003050997939
83	0.003008599365
84	0.002954733437
85	0.002921679581
86	0.002894299756
87	0.002856265614
88	0.002820472409
89	0.002797442153
90	0.002753309276
91	0.002699119768
92	0.002669292188
93	0.002631480242
94	0.002608768567
95	0.002594332241
96	0.002583038881
97	0.002556094826
98	0.002539051586
99	0.002513075196
100	0.002491949259
101	0.002473025922
102	0.002449814846
103	0.002428892482
104	0.002400496377
105	0.002374503509
106	0.002368592764
107	0.002358713218
108	0.00233721525
109	0.002314673303
110	0.002271647384
111	0.002247366357
112	0.002234468905
113	0.002219655844
114	0.002209098321
115	0.002197147417
116	0.002176374876
117	0.002159520802
118	0.00215404262
119	0.002124344553
120	0.002115898001
121	0.002095877268
122	0.002089534209
123	0.002072797028
124	0.00203922382
125	0.002017941438
126	0.002000480218
127	0.00197618594
128	0.001942260769
129	0.00192063992
130	0.001911084728
131	0.001891208611
132	0.001870166033
133	0.001848004185
134	0.00183750586
135	0.001827717446
136	0.001818787278
137	0.001798602993
138	0.001789258378
139	0.001775489545
140	0.001762863173
141	0.001757467624
142	0.001743011471
143	0.001725488668
144	0.001714359189
145	0.001702975716
146	0.001702975513
147	0.001694887605
148	0.001669664146
149	0.001661209822
150	0.001655298422
151	0.001645936318
152	0.001645925757
153	0.001639455289
154	0.001639447335
155	0.001639444507
156	0.001632295244
157	0.001626443785
158	0.001616230658
159	0.001616199667
160	0.001611798414
161	0.001598646501
162	0.001586525567
163	0.001577434444
164	0.001564709642
165	0.001543093738
166	0.001536872498
167	0.001526178956
168	0.001520138294
169	0.001497541496
170	0.001497541281
171	0.001497537861
172	0.001490607728
173	0.001490600876
174	0.001473714097
175	0.001465169119
176	0.001450797224
177	0.001440171148
178	0.001440171148
179	0.001437831834
180	0.001437831834
181	0.001437831586
182	0.001437831421
183	0.0014378285
184	0.001426647685
185	0.001417380732
186	0.001417372676
187	0.001408642592
188	0.001402492658
189	0.001390415505
190	0.001382412894
191	0.001366060541
192	0.001357980407
193	0.001351817756
194	0.00134737811
195	0.00134737811
196	0.00134006612
197	0.00133057442
198	0.001329749269
199	0.001314799687
200	0.001306135319
201	0.001300477462
202	0.001292661333
203	0.001292661333
204	0.00128126896
205	0.001281239622
206	0.001271872102
207	0.001263901855
208	0.001244489165
209	0.001235290328
210	0.001235288001
211	0.001225578335
212	0.001219433947
213	0.001215341837
214	0.001200820666
215	0.001200807054
216	0.001200793443
217	0.001193799189
218	0.001184721534
219	0.001184719532
220	0.001170747035
221	0.001164304229
222	0.001164300737
223	0.001158578209
224	0.001158569101
225	0.001158562455
226	0.001151738247
227	0.001146748376
228	0.001146747686
229	0.001141339686
230	0.001133798925
231	0.001133797253
232	0.001127285896
233	0.001127284011
234	0.001127281844
